timestamp,amount,volume,side,symbol,Class
2026-06-07 16:55:22.903915167,62126.5,0.00241362,b,XBTUSD,0
2026-06-07 16:55:24.383613825,62126.4,0.00027674,s,XBTUSD,0
2026-06-07 16:55:24.987243652,62126.4,0.00133288,s,XBTUSD,0
2026-06-07 16:55:24.987243652,62126.4,0.0001,s,XBTUSD,0
2026-06-07 16:55:25.402863264,62117.1,0.002,s,XBTUSD,0
2026-06-07 16:55:25.402863264,62116.8,5.1e-05,s,XBTUSD,0
2026-06-07 16:55:25.408976793,62113.7,5.1e-05,s,XBTUSD,0
2026-06-07 16:55:25.461768150,62107.0,0.00161,s,XBTUSD,0
2026-06-07 16:55:25.461768150,62105.2,0.011,s,XBTUSD,0
2026-06-07 16:55:25.558493137,62095.2,0.00161,s,XBTUSD,0
2026-06-07 16:55:25.558604479,62090.5,0.003,s,XBTUSD,0
2026-06-07 16:55:26.658072948,62085.1,0.03213351,b,XBTUSD,0
2026-06-07 16:55:26.689985275,62085.0,0.0001,s,XBTUSD,0
2026-06-07 16:55:26.744341135,62083.4,0.00161,s,XBTUSD,0
2026-06-07 16:55:27.542356014,62071.6,0.001611,s,XBTUSD,0
2026-06-07 16:55:27.746654510,62059.8,0.01304409,b,XBTUSD,0
2026-06-07 16:55:35.017045259,62059.7,0.001611,s,XBTUSD,0
2026-06-07 16:55:35.017045259,62059.7,0.0001,s,XBTUSD,0
2026-06-07 16:55:35.495332241,62057.3,0.00824438,s,XBTUSD,0
