is_sell,Class,amount_scaled,quantity_scaled,hour,minute
0,0,0.7452231413933393,-0.09981051333331957,5,36
1,0,0.7450019995492437,-0.0548653124349491,5,36
1,0,0.7450019995492437,-0.10038428185542642,5,36
1,0,0.7450019995492437,-0.10095805037753329,5,36
1,0,0.7450019995492437,-0.09981051333331957,5,36
1,0,0.7450019995492437,-0.100097397594373,5,36
1,0,0.7450019995492437,-0.10038428185542642,5,36
1,0,0.7450019995492437,-0.08957830802241395,5,36
1,0,0.7450019995492437,-0.0791548465374727,5,36
0,1,0.7452231413933393,0.0958445527051187,5,36
0,0,0.7452231413933393,-0.08192806106098918,5,36
1,0,0.7450019995492437,-0.09875860437612366,5,36
0,0,0.7452231413933393,-0.08384062280134538,5,36
1,0,0.7450019995492437,-0.09139524167575233,5,36
1,0,0.7450019995492437,-0.09981051333331957,5,36
1,0,0.7450019995492437,-0.09493348089541129,5,36
1,0,0.7450019995492437,-0.09981051333331957,5,36
1,0,0.7450019995492437,-0.09741981115787433,5,36
1,0,0.7450019995492437,-0.03621783546647624,5,36
1,0,0.7450019995492437,-0.10038428185542642,5,36
1,0,0.7450019995492437,-0.10000176950735518,5,36
1,0,0.7450019995492437,-0.0821193172350248,5,36
1,0,0.7450019995492437,-0.08948267993539614,5,36
0,0,0.7452231413933393,-0.06528877391989032,5,36
1,0,0.7450019995492437,-0.09894986055015928,5,36
1,0,0.7450019995492437,-0.0981848358540168,5,36
1,0,0.7450019995492437,-0.08556192836766595,5,36
1,1,0.7450019995492437,0.059314623464315465,5,36
0,0,0.7452231413933393,-0.09732418307085652,5,36
1,1,0.7450019995492437,0.1391640761241864,5,36
0,0,0.7452231413933393,-0.09981051333331957,5,36
0,0,0.7452231413933393,-0.0991411167241949,5,36
0,0,0.7452231413933393,-0.09837609202805242,5,36
0,0,0.7452231413933393,-0.07657288818799186,5,36
0,0,0.7452231413933393,-0.10019302568139081,5,36
0,0,0.7452231413933393,-0.0981848358540168,5,36
0,0,0.7452231413933393,-0.09263840680698385,5,36
0,0,0.7452231413933393,-0.10028865376840862,5,36
0,0,0.7452231413933393,-0.09856734820208804,5,36
1,0,0.7450019995492437,-0.09675041454874965,5,36
0,0,0.7452231413933393,-0.100097397594373,5,36
0,0,0.7452231413933393,-0.09856734820208804,5,36
0,0,0.7452231413933393,-0.09981051333331957,5,36
0,0,0.7452231413933393,-0.09732418307085652,5,36
0,0,0.7452231413933393,-0.0981848358540168,5,36
0,0,0.7452231413933393,-0.0981848358540168,5,36
0,0,0.7452231413933393,-0.098089207766999,5,36
0,0,0.7452231413933393,-0.09981051333331957,5,36
0,0,0.7452231413933393,-0.0881438867171468,5,36
0,0,0.7452231413933393,-0.09981051333331957,5,36
1,0,0.7450019995492437,-0.100097397594373,5,36
1,0,0.7450019995492437,-0.04798009016966681,5,36
1,0,0.7450019995492437,-0.0921602663718948,5,36
1,0,0.7450019995492437,-0.09904548863717709,5,36
1,0,0.7450019995492437,-0.08757011819503996,5,36
1,0,0.7450019995492437,-0.09369031576417976,5,36
1,0,0.7450019995492437,-0.08757011819503996,5,36
1,0,0.7450019995492437,-0.06844450079147806,5,36
1,0,0.7450019995492437,-0.09445534046032224,5,36
0,0,0.7452231413933393,-0.08890891141328928,5,36
0,0,0.7452231413933393,-0.09273403489400167,5,36
1,1,0.7450019995492437,0.04611794745585774,5,36
1,0,0.7450019995492437,-0.0899608203704852,5,36
0,0,0.7452231413933393,-0.100097397594373,5,36
1,0,0.7450019995492437,-0.10038428185542642,5,36
0,0,0.7452231413933393,-0.09961925715928394,5,36
1,0,0.7450019995492437,-0.07418218601254661,5,36
1,0,0.7450019995492437,-0.06662756713813967,5,36
1,0,0.7450019995492437,-0.0750428387957069,5,36
0,0,0.7452231413933393,-0.06442812113673005,5,36
1,0,0.7450019995492437,-0.0899608203704852,5,36
0,0,0.7452231413933393,-0.09110835741469892,5,36
0,0,0.7452231413933393,-0.09981051333331957,5,36
0,0,0.7452231413933393,-0.09684604263576747,5,36
1,1,0.7450019995492437,0.0425797082361988,5,36
1,0,0.7450019995492437,-0.09875860437612366,5,36
1,0,0.7450019995492437,-0.08976956419644956,5,36
1,1,0.7450019995492437,0.1349564402954028,5,36
1,0,0.7450019995492437,-0.08718760584696872,5,36
0,0,0.7452231413933393,-0.09990614142033738,5,36
1,0,0.7450019995492437,-0.09904548863717709,5,36
0,0,0.7452231413933393,-0.09149086976277014,5,36
1,0,0.7450019995492437,-0.09990614142033738,5,36
1,0,0.7450019995492437,-0.09990614142033738,5,36
1,0,0.7450019995492437,-0.09990614142033738,5,36
1,0,0.7450019995492437,-0.06002922913391081,5,36
0,1,0.7452231413933393,0.14365859621402347,5,36
0,0,0.7452231413933393,-0.07351278940342194,5,36
0,0,0.7452231413933393,-0.0991411167241949,5,36
0,0,0.7452231413933393,-0.07542535114377814,5,36
1,0,0.7450019995492437,-0.09933237289823052,5,36
1,0,0.7450019995492437,-0.09990614142033738,5,36
1,1,0.7450019995492437,0.19807097772715707,5,36
1,0,0.7450019995492437,-0.09340343150312633,5,36
0,0,0.7452231413933393,-0.09502910898242908,5,36
0,0,0.7452231413933393,-0.09474222472137567,5,36
1,0,0.7450019995492437,0.0425797082361988,5,36
1,0,0.7450019995492437,0.1349564402954028,5,36
0,0,0.7452231413933393,0.14365859621402347,5,36
1,0,0.7450019995492437,0.19807097772715707,5,36
0,0,0.7452231413933393,-0.09923674481121272,5,36
0,0,0.7452231413933393,-0.09952362907226614,5,36
1,0,0.7450019995492437,-0.09923674481121272,5,36
1,0,0.7450019995492437,-0.047884462082649,5,36
1,0,0.7450019995492437,-0.07963298697256176,5,36
1,0,0.7450019995492437,-0.08919579567434271,5,36
0,0,0.7452231413933393,-0.08862202715223584,5,36
1,0,0.7450019995492437,-0.08384062280134538,5,36
1,0,0.7450019995492437,-0.09981051333331957,5,36
0,0,0.7452231413933393,-0.09684604263576747,5,36
1,0,0.7450019995492437,0.06725175468679366,5,36
0,0,0.7452231413933393,-0.09981051333331957,5,36
0,0,0.7452231413933393,-0.10019302568139081,5,36
0,0,0.7452231413933393,-0.058977320176714906,5,36
0,0,0.7452231413933393,-0.02531623354644596,5,36
0,0,0.7452231413933393,0.023262834658601267,5,36
0,0,0.7452231413933393,0.023262834658601267,5,36
0,0,0.7452231413933393,-0.09990614142033738,5,36
0,0,0.7452231413933393,-0.09981051333331957,5,36
0,0,0.7452231413933393,0.023262834658601267,5,36
0,0,0.7452231413933393,0.023262834658601267,5,36
0,0,0.7452231413933393,0.09020249557106794,5,36
0,0,0.7452231413933393,-0.10019302568139081,5,36
0,0,0.7452231413933393,0.023262834658601267,5,36
0,0,0.7452231413933393,0.023262834658601267,5,36
0,0,0.7452231413933393,0.023262834658601267,5,36
0,0,0.7452231413933393,0.05979276389940452,5,36
0,0,0.7452231413933393,0.023262834658601267,5,36
0,0,0.7452231413933393,-0.06069862574303548,5,36
0,0,0.7452231413933393,0.023262834658601267,5,36
0,0,0.7452231413933393,0.023262834658601267,5,37
0,0,0.7452231413933393,0.023262834658601267,5,37
0,0,0.7452231413933393,0.023262834658601267,5,37
1,0,0.7450019995492437,-0.05142270130230795,5,37
1,0,0.7450019995492437,-0.09981051333331957,5,37
0,0,0.7452231413933393,0.023262834658601267,5,37
0,0,0.7452231413933393,-0.09961925715928394,5,37
0,0,0.7452231413933393,-0.07026143444481642,5,37
0,0,0.7452231413933393,-0.09636790220067844,5,37
0,0,0.7452231413933393,-0.09981051333331957,5,37
1,0,0.7450019995492437,-0.08374499471432756,5,37
1,0,0.7450019995492437,-0.09981051333331957,5,37
0,0,0.7452231413933393,-0.098089207766999,5,37
0,0,0.7452231413933393,-0.04855385869177367,5,37
0,0,0.7452231413933393,-0.019291664064323956,5,37
0,0,0.7452231413933393,-0.09971488524630176,5,37
0,0,0.7452231413933393,-0.09981051333331957,5,37
0,0,0.7452231413933393,-0.09847172011507024,5,37
1,0,0.7450019995492437,-0.0821193172350248,5,37
0,1,0.7452231413933393,1.3874931240546717,5,37
0,0,0.7452231413933393,-0.10038428185542642,5,37
0,0,0.7452231413933393,-0.10028865376840862,5,37
0,0,0.7452231413933393,-0.08976956419644956,5,37
0,1,0.7452231413933393,1.9364939716239162,5,37
1,0,0.7450019995492437,-0.06366309644058757,5,37
1,0,0.7450019995492437,-0.09981051333331957,5,37
0,0,0.7452231413933393,-0.10038428185542642,5,37
